gene_symbol,gs_name,gs_subcat,human_gene_symbol,logFC,AveExpr,adj.P.Val,threshold
CG3822,GO_AXON_PART,CC,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_BEHAVIOR,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG5493,GO_BODY_FLUID_SECRETION,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
CG8199,GO_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,BP,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG9149,GO_C_ACYLTRANSFERASE_ACTIVITY,MF,ACAT2,1.19659918309213,8.7138932134705,0.00111035624683261,Increase
UQCR-11,GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,BP,UQCRH,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
UQCR-11,GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,BP,UQCRHL,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
CG3822,GO_CARBOHYDRATE_HOMEOSTASIS,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Ugt35a,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT1A10,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT1A10,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt86Dd,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT1A8,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT1A8,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT2A3,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT2A3,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT2B10,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT2B10,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt35a,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT2B28,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CARBOHYDRATE_METABOLIC_PROCESS,BP,UGT2B28,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
CG8199,GO_CARBON_CARBON_LYASE_ACTIVITY,MF,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG8199,GO_CARBOXY_LYASE_ACTIVITY,MF,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG8199,GO_CATABOLIC_PROCESS,BP,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG5493,GO_CATABOLIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
Clk,GO_CATABOLIC_PROCESS,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG8199,GO_CATALYTIC_COMPLEX,CC,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
UQCR-11,GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,UQCRH,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
UQCR-11,GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,UQCRHL,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
UQCR-11,GO_CATION_TRANSPORT,BP,UQCRH,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
UQCR-11,GO_CATION_TRANSPORT,BP,UQCRHL,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
CG3822,GO_CELL_BODY,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_BODY,CC,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_CELL_SIGNALING,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_CELL_SIGNALING,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Rala,GO_CELL_CORTEX,CC,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_CORTEX_PART,CC,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Clk,GO_CELL_CYCLE,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_CELL_CYCLE,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_CYCLE,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Clk,GO_CELL_CYCLE_CHECKPOINT,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CELL_CYCLE_PROCESS,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_CELL_CYCLE_PROCESS,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_CYCLE_PROCESS,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_CELL_DEATH,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Rala,GO_CELL_DEATH,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_DIVISION,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_DIVISION,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_DIVISION_SITE,CC,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_CELL_JUNCTION,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_JUNCTION,CC,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Rala,GO_CELL_JUNCTION,CC,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG13032,GO_CELL_PART_MORPHOGENESIS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CELL_PART_MORPHOGENESIS,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG13032,GO_CELL_PROJECTION,CC,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3822,GO_CELL_PROJECTION,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_PROJECTION,CC,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Tektin-C,GO_CELL_PROJECTION,CC,TEKT1,3.37300308025243,8.80337564796925,9.61995770970593e-06,Increase
CG3259,GO_CELL_PROJECTION,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG13032,GO_CELL_PROJECTION_ASSEMBLY,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CELL_PROJECTION_ASSEMBLY,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3822,GO_CELL_PROJECTION_CYTOPLASM,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG13032,GO_CELL_PROJECTION_ORGANIZATION,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CELL_PROJECTION_ORGANIZATION,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3822,GO_CELL_PROJECTION_PART,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_PROJECTION_PART,CC,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3259,GO_CELL_PROJECTION_PART,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
Rala,GO_CELL_SUBSTRATE_JUNCTION,CC,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELL_SURFACE,CC,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG8199,GO_CELLULAR_ALDEHYDE_METABOLIC_PROCESS,BP,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG5493,GO_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
CG8199,GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS,BP,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG5493,GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
CG8199,GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,BP,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG5493,GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
CG5144,GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT1A,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT1B,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT2,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG8199,GO_CELLULAR_CATABOLIC_PROCESS,BP,BCKDHA,1.07465700273264,8.9249947258636,0.00127569522948366,Increase
CG5493,GO_CELLULAR_CATABOLIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
Clk,GO_CELLULAR_CATABOLIC_PROCESS,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG3822,GO_CELLULAR_CHEMICAL_HOMEOSTASIS,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELLULAR_CHEMICAL_HOMEOSTASIS,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG13032,GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG13032,GO_CELLULAR_COMPONENT_MORPHOGENESIS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CELLULAR_COMPONENT_MORPHOGENESIS,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3822,GO_CELLULAR_GLUCOSE_HOMEOSTASIS,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Ugt35a,GO_CELLULAR_GLUCURONIDATION,BP,UGT1A10,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CELLULAR_GLUCURONIDATION,BP,UGT1A10,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt86Dd,GO_CELLULAR_GLUCURONIDATION,BP,UGT1A8,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CELLULAR_GLUCURONIDATION,BP,UGT1A8,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CELLULAR_GLUCURONIDATION,BP,UGT2A3,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CELLULAR_GLUCURONIDATION,BP,UGT2A3,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CELLULAR_GLUCURONIDATION,BP,UGT2B10,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CELLULAR_GLUCURONIDATION,BP,UGT2B10,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt35a,GO_CELLULAR_GLUCURONIDATION,BP,UGT2B28,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
Ugt86Dd,GO_CELLULAR_GLUCURONIDATION,BP,UGT2B28,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
CG3822,GO_CELLULAR_HOMEOSTASIS,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELLULAR_HOMEOSTASIS,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG31235,GO_CELLULAR_HORMONE_METABOLIC_PROCESS,BP,RDH14,1.57068216405216,6.544556162751,0.00600388681213686,Increase
Ugt86Dd,GO_CELLULAR_HORMONE_METABOLIC_PROCESS,BP,UGT1A8,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CELLULAR_HORMONE_METABOLIC_PROCESS,BP,UGT1A8,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
CG31235,GO_CELLULAR_LIPID_METABOLIC_PROCESS,BP,RDH14,1.57068216405216,6.544556162751,0.00600388681213686,Increase
Ugt86Dd,GO_CELLULAR_LIPID_METABOLIC_PROCESS,BP,UGT1A8,1.03846340222221,6.2132186092223,0.0020760201939351,Increase
Ugt35a,GO_CELLULAR_LIPID_METABOLIC_PROCESS,BP,UGT1A8,1.87470840768378,6.88739268772282,0.000218749530183995,Increase
CG3822,GO_CELLULAR_MACROMOLECULE_LOCALIZATION,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CELLULAR_MACROMOLECULE_LOCALIZATION,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Rala,GO_CELLULAR_MACROMOLECULE_LOCALIZATION,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELLULAR_MACROMOLECULE_LOCALIZATION,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3259,GO_CELLULAR_MACROMOLECULE_LOCALIZATION,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG5144,GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT1A,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT1B,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT2,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
UQCR-11,GO_CELLULAR_RESPIRATION,BP,UQCRH,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
UQCR-11,GO_CELLULAR_RESPIRATION,BP,UQCRHL,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
Clk,GO_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG3822,GO_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG13032,GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
Clk,GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,BP,NPAS2,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_CELLULAR_RESPONSE_TO_DSRNA,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Clk,GO_CELLULAR_RESPONSE_TO_IONIZING_RADIATION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Rala,GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Clk,GO_CELLULAR_RESPONSE_TO_RADIATION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_CELLULAR_RESPONSE_TO_STARVATION,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG13032,GO_CELLULAR_RESPONSE_TO_STRESS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
Clk,GO_CELLULAR_RESPONSE_TO_STRESS,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CELLULAR_RESPONSE_TO_STRESS,BP,NPAS2,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_CELLULAR_RESPONSE_TO_STRESS,BP,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Clk,GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,BP,NPAS2,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG13032,GO_CENTRIOLAR_SATELLITE,CC,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG13032,GO_CENTROSOME,CC,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CENTROSOME,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3822,GO_CHEMICAL_HOMEOSTASIS,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_CHEMICAL_HOMEOSTASIS,BP,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
Clk,GO_CHROMATIN_BINDING,MF,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CHROMATIN_DNA_BINDING,MF,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CHROMATIN_MODIFICATION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CHROMATIN_ORGANIZATION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CHROMATOID_BODY,CC,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CHROMOSOME,CC,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CHROMOSOME_ORGANIZATION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG3259,GO_CILIARY_BASAL_BODY,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3259,GO_CILIARY_BASE,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3259,GO_CILIARY_PART,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3259,GO_CILIARY_PLASM,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3259,GO_CILIARY_TIP,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG3259,GO_CILIARY_TRANSITION_ZONE,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
Tektin-C,GO_CILIUM,CC,TEKT1,3.37300308025243,8.80337564796925,9.61995770970593e-06,Increase
CG3259,GO_CILIUM,CC,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG13032,GO_CILIUM_MORPHOGENESIS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CILIUM_MORPHOGENESIS,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
CG13032,GO_CILIUM_ORGANIZATION,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
CG3259,GO_CILIUM_ORGANIZATION,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
Clk,GO_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,BP,NPAS2,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CIRCADIAN_RHYTHM,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CIRCADIAN_RHYTHM,BP,NPAS2,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG3259,GO_CIRCULATORY_SYSTEM_DEVELOPMENT,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
Clk,GO_CORE_PROMOTER_BINDING,MF,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CORE_PROMOTER_BINDING,MF,NPAS2,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING,MF,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING,MF,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Clk,GO_COVALENT_CHROMATIN_MODIFICATION,BP,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
CG5144,GO_CREATINE_METABOLIC_PROCESS,BP,CKMT1A,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_CREATINE_METABOLIC_PROCESS,BP,CKMT1B,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_CREATINE_METABOLIC_PROCESS,BP,CKMT2,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
